1,KIRKLAND,23,MALE,BSIS,2,B,78,89,76,76,79.75,Passed
2,GINNY FRIEND,23,FEMALE,BSCE,4,B,87,85,60,60,73,Failed
4,RON MATTHEW LINGAD,26,MALE,BSIT,2,A,100,74,72,72,79.5,Passed
5,JOHN MATTHEW BERG,21,MALE,BSCE,1,D,56,90,85,85,79,Passed
6,ANGELA SHARP,18,FEMALE,BSIS,1,B,90,75,78,78,80.25,Passed
9,DANIEL WOODES,23,MALE,BSIT,3,A,89,97.6,89,89,91.15,Passed
10,EDWARD KENWAY,27,MALE,BSIS,4,C,87,56,70,70,70.75,Failed
17,HINA YU,20,FEMALE,BSCE,2,B,89,87,85,85,86.5,Passed
18,OLIVER LEVASSAUR,24,MALE,BSCE,3,D,78,81,82,82,80.75,Passed
19,ANNE BONEY,22,FEMALE,BSIS,2,C,87,78,95,95,88.75,Passed
20,CHUNSIK ,19,FEMALE,BSCE,1,B,67,78,77,77,74.75,Failed
22,JHAY VINZON,20,MALE,BSCE,2,D,78,87,99,99,90.75,Passed
23,EMMA JONES,19,FEMALE,BSIS,4,C,78,87,67,67,74.75,Failed
